Note: right most side of the right part of this document is column 0 and row 0, so the entire list of strokes starts from the extreme right side:
http://www.keyboard-layout-editor.com/#/gists/50db7ea7b0832342d4c734eb985ec16b

schematic
https://github.com/Supermagnum/Europe-ergo/blob/main/Europe-ergo-PCB/schema/Europe-ergo.pdf

Ψ Console Connected: Supermagnum europe_ergo (FEED:0000:1)
first row,
Supermagnum:europe_ergo:1: KL: kc: 0x004B, col:  5, row: 10, pressed: 1, time: 32457, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x004B, col:  5, row: 10, pressed: 0, time: 32577, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0038, col:  4, row: 10, pressed: 1, time: 32920, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0038, col:  4, row: 10, pressed: 0, time: 33032, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0037, col:  3, row: 10, pressed: 1, time: 33306, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0037, col:  3, row: 10, pressed: 0, time: 33424, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x005B, col:  2, row: 10, pressed: 1, time: 33689, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x005B, col:  2, row: 10, pressed: 0, time: 33797, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0059, col:  0, row: 10, pressed: 1, time: 34104, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0059, col:  0, row: 10, pressed: 0, time: 34196, int: 0, count: 0


row number 6:
Supermagnum:europe_ergo:1: KL: kc: 0x004F, col:  8, row: 11, pressed: 1, time:  6558, int: 0, count: 0
^[[CSupermagnum:europe_ergo:1: KL: kc: 0x004F, col:  8, row: 11, pressed: 0, time:  6694, int: 0, count: 0
^[[BSupermagnum:europe_ergo:1: KL: kc: 0x0051, col:  7, row: 11, pressed: 1, time:  7063, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0051, col:  7, row: 11, pressed: 0, time:  7206, int: 0, count: 0
Supermagnum:europe_ergo:1: KL: kc: 0x0000, col:  6, row: 11, pressed: 1, time:  7526, int: 0, count: 0
